Y;X1;X2;X3;X4;X5;X6
0;31.801000;0.418092;0.440754;0.057276;0.009636;0.002152
0;32.033053;0.409892;0.581339;0.034648;0.015345;0.001344
0;32.010400;0.371040;0.579246;0.028570;0.015083;0.000892
0;32.040168;0.361008;0.586389;0.025342;0.012216;0.000470
0;32.104179;0.320720;0.596535;0.052234;0.011256;0.000337
0;32.156113;0.286055;0.566734;0.078724;0.012542;0.000367
0;27.846074;0.052355;0.199008;0.138066;0.204907;0.000608
0;28.003288;0.033051;0.183093;0.144041;0.194440;0.003269
0;28.121648;0.036718;0.174426;0.159351;0.179677;0.002142
0;28.224394;0.034327;0.163590;0.146468;0.262793;0.001961
0;28.175360;0.029408;0.227637;0.148023;0.223854;0.002387
0;28.511424;0.025297;0.169246;0.106650;0.179199;0.001587
0;28.377234;0.464371;0.779408;0.013966;0.000821;0.000016
0;28.406781;0.431413;0.880042;0.042372;0.014954;0.000230
1;28.550232;0.451539;0.874627;0.017129;0.010182;0.000095
1;28.693304;0.488530;0.877249;0.011814;0.006822;0.000058
0;28.739520;0.504781;0.868432;0.020513;0.010361;0.000071
0;28.827183;0.459328;0.835939;0.031236;0.008082;0.000092
0;30.626530;0.160944;0.186786;0.099697;0.081824;0.000033
0;30.678811;0.191108;0.232866;0.048871;0.085598;0.000043
0;30.864365;0.273038;0.248347;0.050778;0.080379;0.000110
0;30.912457;0.178162;0.305103;0.011329;0.071839;0.000074
0;30.834760;0.137011;0.347270;0.031941;0.088553;0.000136
0;30.952263;0.334872;0.411129;0.038062;0.105621;0.000307
0;28.431548;0.087106;0.566971;0.097912;0.159824;0.000163
0;28.700424;0.078193;0.531636;0.023186;0.175962;0.001263
0;28.975316;0.173021;0.592233;0.053279;0.171892;0.000266
0;29.023759;0.179496;0.599870;0.043085;0.178962;0.000758
0;29.011767;0.130906;0.563006;0.075321;0.203323;0.000049
0;29.047974;0.126865;0.558634;0.080687;0.201314;0.000887
0;26.289465;0.102522;0.226540;0.010554;0.478337;0.002838
0;26.514919;0.109572;0.197747;0.001478;0.484902;0.006106
0;26.623892;0.080079;0.168773;0.002777;0.550888;0.002738
0;27.129596;0.241929;0.383249;0.003219;0.381097;0.004128
0;27.146451;0.204620;0.365131;0.033901;0.375791;0.001003
0;27.274706;0.225637;0.310134;0.006736;0.397728;0.001085
1;29.088370;0.131763;0.294498;0.031574;0.021591;0.006537
0;29.107559;0.127452;0.239608;0.055418;0.023426;0.004690
1;29.079559;0.077314;0.291227;0.101355;0.026975;0.005302
1;29.114332;0.073452;0.335922;0.086159;0.029016;0.008045
0;29.063950;0.014086;0.382857;0.075416;0.031146;0.003460
0;29.211106;0.009406;0.323162;0.051645;0.019877;0.002121
1;29.230750;0.009797;0.127590;0.081340;0.326074;0.000013
1;29.341287;0.011786;0.148437;0.083967;0.364663;0.000009
1;29.455083;0.013626;0.153945;0.082479;0.317339;0.000009
0;29.540258;0.013577;0.151800;0.081088;0.301626;0.000008
0;29.589321;0.014965;0.143585;0.078468;0.298923;0.000008
0;29.635982;0.014846;0.161057;0.069735;0.314005;0.000008
0;27.386115;0.208434;0.304205;0.064384;0.011062;0.001401
0;27.995542;0.120404;0.351899;0.106439;0.007704;0.000635
0;28.182905;0.167306;0.447914;0.072799;0.007001;0.000560
0;28.974639;0.190498;0.311908;0.017530;0.003657;0.000138
0;29.824129;0.601754;0.165667;0.000232;0.001517;0.000037
0;30.039630;0.585462;0.194304;0.002670;0.003344;0.000064
0;26.784446;0.164438;0.115615;0.067019;0.094496;0.000734
0;26.658528;0.186590;0.144844;0.049037;0.134896;0.001955
0;26.762887;0.078533;0.151632;0.043512;0.140444;0.000934
0;26.827834;0.065627;0.149913;0.055642;0.144238;0.000716
0;27.247189;0.041637;0.288408;0.045104;0.085500;0.000718
0;27.421662;0.057459;0.271856;0.029473;0.095675;0.000104
1;28.843302;0.009663;0.163832;0.053236;0.024087;0.000863
1;29.015731;0.009417;0.173821;0.057210;0.037170;0.001227
0;28.997573;0.011243;0.174304;0.034123;0.031204;0.000892
0;29.260175;0.140958;0.143297;0.005485;0.043775;0.000784
1;29.255224;0.155842;0.133317;0.091756;0.022633;0.001005
1;29.710275;0.087552;0.093748;0.200977;0.027031;0.000605
0;31.356939;0.026531;0.276118;0.098019;0.642019;0.000812
0;31.558359;0.025312;0.315532;0.086346;0.595635;0.000158
0;31.695495;0.022611;0.325809;0.093290;0.596544;0.000189
0;31.782146;0.022915;0.316611;0.101611;0.586658;0.000296
0;31.773388;0.027781;0.325630;0.105997;0.596414;0.000477
0;31.832124;0.029377;0.320680;0.116168;0.568010;0.001483
0;30.898593;0.039666;0.156780;0.378904;0.597005;0.000724
0;30.941732;0.041080;0.171820;0.394769;0.632469;0.000730
1;30.976728;0.045182;0.208579;0.358734;0.614207;0.001128
1;31.268889;0.038305;0.165247;0.272642;0.501741;0.002078
1;31.380720;0.044810;0.162215;0.300229;0.457370;0.002000
0;31.395496;0.058995;0.159726;0.293700;0.417775;0.001974
1;30.511336;0.122754;0.217130;0.128448;0.101934;0.003024
1;30.688200;0.155409;0.227785;0.105010;0.134888;0.005920
1;30.851076;0.145399;0.232104;0.102846;0.112732;0.007662
0;30.910451;0.157051;0.246819;0.110056;0.095888;0.012280
1;30.994930;0.136023;0.246153;0.125642;0.107602;0.009275
0;31.084796;0.141292;0.256811;0.112057;0.103153;0.005732
1;31.715137;0.209532;0.382679;0.080587;0.131104;0.004217
1;31.982736;0.260894;0.387792;0.036388;0.105146;0.004077
1;32.086266;0.268877;0.355203;0.052096;0.098125;0.005107
